pair,is_envido,truco_max,truco_min,truco_mean,truco_median,envido_max,envido_min,envido_mean,envido_median,combined_mean,count
10 10,false,0.336036,0.155234,0.224731,0.206542,27,0,14.59,7,0.333440,88
10 4,false,0.016581,0.016581,0.016581,0.016581,24,4,14.00,14,0.220412,24
10 5,false,0.097319,0.054183,0.065947,0.054183,29,5,17.41,24,0.296748,88
10 6,false,0.186293,0.093651,0.127498,0.139296,31,6,18.82,25,0.348837,152
10 7f,false,0.259202,0.124668,0.176587,0.173145,33,7,20.24,25,0.394960,100
11 10,false,0.389254,0.197812,0.277999,0.252381,27,0,16.14,20,0.383501,248
11 11,false,0.500000,0.250386,0.352843,0.361240,27,0,13.61,7,0.382590,112
11 4,false,0.022587,0.022587,0.022587,0.022587,24,4,14.00,14,0.223415,24
11 5,false,0.123917,0.071686,0.085931,0.071686,29,5,17.41,24,0.306740,88
11 6,false,0.227992,0.122136,0.160960,0.174646,31,6,18.82,25,0.365568,152
11 7f,false,0.308623,0.161133,0.218183,0.214414,33,7,20.24,25,0.415758,100
12 10,false,0.443308,0.242771,0.326905,0.300086,27,0,16.14,20,0.407954,248
12 11,false,0.555620,0.304204,0.413898,0.416088,27,0,15.39,20,0.440146,312
12 12,false,0.663964,0.367503,0.494244,0.475611,27,0,12.97,7,0.443646,136
12 4,false,0.028593,0.028593,0.028593,0.028593,24,4,14.00,14,0.226418,24
12 5,false,0.150515,0.089189,0.105914,0.089189,29,5,17.41,24,0.316731,88
12 6,false,0.269691,0.150622,0.194422,0.209996,31,6,18.82,25,0.382299,152
12 7f,false,0.358044,0.197598,0.259779,0.255684,33,7,20.24,25,0.436556,100
1b 10,false,0.639640,0.407679,0.505501,0.474560,28,1,17.03,21,0.510815,62
1b 11,false,0.756414,0.508537,0.617239,0.619648,28,1,16.27,21,0.555123,78
1b 12,false,0.850536,0.609395,0.717862,0.697855,28,1,15.77,21,0.597809,94
1b 1f,false,0.906263,0.683977,0.784563,0.781896,28,1,13.74,21,0.600401,53
1b 2,false,0.949249,0.760682,0.847695,0.856027,29,2,16.17,22,0.668840,118
1b 3,false,0.986744,0.861540,0.920231,0.917246,30,3,16.75,23,0.713847,134
1b 4,false,0.052553,0.052553,0.052553,0.052553,25,4,14.50,14,0.245973,6
1b 5,false,0.248606,0.155534,0.180917,0.155534,29,5,17.82,25,0.360431,22
1b 6,false,0.422008,0.256392,0.317856,0.340262,31,6,19.21,26,0.449996,38
1b 7e,false,1.000000,0.948198,0.972973,0.975225,33,7,16.00,7,0.728911,37
1b 7f,false,0.537194,0.330974,0.411583,0.406349,33,7,23.68,28,0.564579,25
1b 7o,false,0.993683,0.922984,0.958333,0.958333,33,7,16.83,14,0.734217,36
1e 10,false,0.653153,0.418919,0.517727,0.486486,27,1,16.23,21,0.504709,62
1e 11,false,0.770270,0.522523,0.631208,0.633634,27,1,15.63,21,0.552395,78
1e 12,false,0.863363,0.626126,0.732893,0.713213,27,1,15.23,21,0.597265,94
1e 1b,false,1.000000,1.000000,1.000000,1.000000,28,1,13.00,7,0.696970,38
1e 1f,false,0.917417,0.702703,0.799904,0.797297,28,1,12.94,7,0.596064,53
1e 2,false,0.957958,0.781532,0.863033,0.870871,29,2,15.77,22,0.670474,118
1e 3,false,0.990991,0.885135,0.934920,0.932432,30,3,16.40,23,0.715990,134
1e 4,false,0.054054,0.054054,0.054054,0.054054,25,4,14.50,14,0.246724,6
1e 5,false,0.255255,0.159910,0.185913,0.159910,29,5,17.82,25,0.362929,22
1e 6,false,0.432432,0.263514,0.326221,0.349099,31,6,19.21,26,0.454179,38
1e 7e,false,1.000000,0.974099,0.986487,0.987613,33,28,28.41,28,0.923628,37
1e 7f,false,0.549550,0.340090,0.421982,0.416667,33,7,17.56,7,0.477052,25
