hand,strength
4e 4b 4o,0.0
4e 4b 4c,0.0
4e 4o 4c,0.0
4b 4o 4c,0.0
5e 4e 4b,0.001565833333333365
5b 4e 4b,0.001565833333333365
5o 4e 4b,0.001565833333333365
5c 4e 4b,0.001565833333333365
5e 4e 4o,0.001565833333333365
5b 4e 4o,0.001565833333333365
5o 4e 4o,0.001565833333333365
5c 4e 4o,0.001565833333333365
5e 4e 4c,0.001565833333333365
5b 4e 4c,0.001565833333333365
5o 4e 4c,0.001565833333333365
5c 4e 4c,0.001565833333333365
5e 4b 4o,0.001565833333333365
5b 4b 4o,0.001565833333333365
5o 4b 4o,0.001565833333333365
5c 4b 4o,0.001565833333333365
5e 4b 4c,0.001565833333333365
5b 4b 4c,0.001565833333333365
5o 4b 4c,0.001565833333333365
5c 4b 4c,0.001565833333333365
5e 4o 4c,0.001565833333333365
5b 4o 4c,0.001565833333333365
5o 4o 4c,0.001565833333333365
5c 4o 4c,0.001565833333333365
6e 4e 4b,0.007571861111111152
6b 4e 4b,0.007571861111111152
6o 4e 4b,0.007571861111111152
6c 4e 4b,0.007571861111111152
6e 4e 4o,0.007571861111111152
6b 4e 4o,0.007571861111111152
6o 4e 4o,0.007571861111111152
6c 4e 4o,0.007571861111111152
6e 4e 4c,0.007571861111111152
6b 4e 4c,0.007571861111111152
6o 4e 4c,0.007571861111111152
6c 4e 4c,0.007571861111111152
6e 4b 4o,0.007571861111111152
6b 4b 4o,0.007571861111111152
6o 4b 4o,0.007571861111111152
6c 4b 4o,0.007571861111111152
6e 4b 4c,0.007571861111111152
6b 4b 4c,0.007571861111111152
6o 4b 4c,0.007571861111111152
6c 4b 4c,0.007571861111111152
6e 4o 4c,0.007571861111111152
6b 4o 4c,0.007571861111111152
6o 4o 4c,0.007571861111111152
6c 4o 4c,0.007571861111111152
5e 5b 4e,0.013449138888888927
5e 5o 4e,0.013449138888888927
5e 5c 4e,0.013449138888888927
5b 5o 4e,0.013449138888888927
5b 5c 4e,0.013449138888888927
5o 5c 4e,0.013449138888888927
5e 5b 4b,0.013449138888888927
5e 5o 4b,0.013449138888888927
5e 5c 4b,0.013449138888888927
5b 5o 4b,0.013449138888888927
5b 5c 4b,0.013449138888888927
5o 5c 4b,0.013449138888888927
5e 5b 4o,0.013449138888888927
5e 5o 4o,0.013449138888888927
5e 5c 4o,0.013449138888888927
5b 5o 4o,0.013449138888888927
5b 5c 4o,0.013449138888888927
5o 5c 4o,0.013449138888888927
5e 5b 4c,0.013449138888888927
5e 5o 4c,0.013449138888888927
5e 5c 4c,0.013449138888888927
5b 5o 4c,0.013449138888888927
5b 5c 4c,0.013449138888888927
5o 5c 4c,0.013449138888888927
7b 4e 4b,0.013534972222222268
7c 4e 4b,0.013534972222222268
7b 4e 4o,0.013534972222222268
7c 4e 4o,0.013534972222222268
7b 4e 4c,0.013534972222222268
7c 4e 4c,0.013534972222222268
7b 4b 4o,0.013534972222222268
7c 4b 4o,0.013534972222222268
7b 4b 4c,0.013534972222222268
7c 4b 4c,0.013534972222222268
7b 4o 4c,0.013534972222222268
7c 4o 4c,0.013534972222222268
10e 4e 4b,0.016580833333333364
10b 4e 4b,0.016580833333333364
10o 4e 4b,0.016580833333333364
10c 4e 4b,0.016580833333333364
10e 4e 4o,0.016580833333333364
10b 4e 4o,0.016580833333333364
10o 4e 4o,0.016580833333333364
10c 4e 4o,0.016580833333333364
10e 4e 4c,0.016580833333333364
10b 4e 4c,0.016580833333333364
10o 4e 4c,0.016580833333333364
10c 4e 4c,0.016580833333333364
10e 4b 4o,0.016580833333333364
10b 4b 4o,0.016580833333333364
10o 4b 4o,0.016580833333333364
10c 4b 4o,0.016580833333333364
10e 4b 4c,0.016580833333333364
10b 4b 4c,0.016580833333333364
10o 4b 4c,0.016580833333333364
10c 4b 4c,0.016580833333333364
10e 4o 4c,0.016580833333333364
10b 4o 4c,0.016580833333333364
10o 4o 4c,0.016580833333333364
10c 4o 4c,0.016580833333333364
11e 4e 4b,0.022586875000000006
11b 4e 4b,0.022586875000000006
11o 4e 4b,0.022586875000000006
11c 4e 4b,0.022586875000000006
11e 4e 4o,0.022586875000000006
11b 4e 4o,0.022586875000000006
11o 4e 4o,0.022586875000000006
11c 4e 4o,0.022586875000000006
11e 4e 4c,0.022586875000000006
11b 4e 4c,0.022586875000000006
11o 4e 4c,0.022586875000000006
11c 4e 4c,0.022586875000000006
11e 4b 4o,0.022586875000000006
11b 4b 4o,0.022586875000000006
11o 4b 4o,0.022586875000000006
11c 4b 4o,0.022586875000000006
11e 4b 4c,0.022586875000000006
11b 4b 4c,0.022586875000000006
11o 4b 4c,0.022586875000000006
11c 4b 4c,0.022586875000000006
11e 4o 4c,0.022586875000000006
11b 4o 4c,0.022586875000000006
11o 4o 4c,0.022586875000000006
11c 4o 4c,0.022586875000000006
6e 5e 4e,0.027927916666666656
6b 5e 4e,0.027927916666666656
6o 5e 4e,0.027927916666666656
6c 5e 4e,0.027927916666666656
6e 5b 4e,0.027927916666666656
6b 5b 4e,0.027927916666666656
6o 5b 4e,0.027927916666666656
