hand,strength,envido,combined
1e 1b 10o,1.000000,1,0.515152
1e 1b 5e,1.000000,26,0.893939
1e 1b 3b,1.000000,24,0.863636
1e 1b 2b,1.000000,23,0.848485
1e 1b 2c,1.000000,2,0.530303
1e 1b 2e,1.000000,23,0.848485
1e 1b 2o,1.000000,2,0.530303
1e 1b 1c,1.000000,1,0.515152
1e 1b 3o,1.000000,3,0.545455
1e 1b 3c,1.000000,3,0.545455
1e 1b 4b,1.000000,25,0.878788
1e 1b 4c,1.000000,4,0.560606
1e 1b 1o,1.000000,1,0.515152
1e 1b 4o,1.000000,4,0.560606
1e 1b 4e,1.000000,25,0.878788
1e 1b 5b,1.000000,26,0.893939
1e 1b 5c,1.000000,5,0.575758
1e 1b 6e,1.000000,27,0.909091
1e 1b 5o,1.000000,5,0.575758
1e 1b 7e,1.000000,28,0.924242
1e 1b 6o,1.000000,6,0.590909
1e 1b 6c,1.000000,6,0.590909
1e 1b 6b,1.000000,27,0.909091
1e 1b 7b,1.000000,28,0.924242
1e 1b 3e,1.000000,24,0.863636
1b 7e 7o,1.000000,7,0.606061
1e 1b 7o,1.000000,7,0.606061
1e 1b 10b,1.000000,21,0.818182
1e 1b 10e,1.000000,21,0.818182
1e 1b 11b,1.000000,21,0.818182
1e 1b 10c,1.000000,1,0.515152
1e 1b 11e,1.000000,21,0.818182
1e 1b 11o,1.000000,1,0.515152
1e 1b 11c,1.000000,1,0.515152
1e 1b 12e,1.000000,21,0.818182
1e 1b 12b,1.000000,21,0.818182
1e 1b 12c,1.000000,1,0.515152
1e 1b 12o,1.000000,1,0.515152
1e 1b 7c,1.000000,7,0.606061
1e 7e 7o,1.000000,28,0.924242
1e 7e 3b,0.998123,28,0.923304
1e 7e 3e,0.998123,30,0.953607
1e 7e 3o,0.998123,28,0.923304
1e 7e 3c,0.998123,28,0.923304
1e 7o 3b,0.996246,7,0.604184
1e 7o 3e,0.996246,24,0.861759
1b 7e 3e,0.996246,30,0.952669
1e 7o 3o,0.996246,30,0.952669
1b 7e 3b,0.996246,24,0.861759
1b 7e 3c,0.996246,7,0.604184
1e 7o 3c,0.996246,7,0.604184
1b 7e 3o,0.996246,7,0.604184
1e 7e 2c,0.995120,28,0.921803
1e 7e 2e,0.995120,29,0.936954
1e 7e 2o,0.995120,28,0.921803
1e 7e 2b,0.995120,28,0.921803
1b 7o 3o,0.993683,30,0.951387
1b 7o 3b,0.993683,24,0.860478
1b 7o 3c,0.993683,7,0.602902
1b 7o 3e,0.993683,7,0.602902
1e 7e 1c,0.992868,28,0.920676
1e 7e 1o,0.992868,28,0.920676
7e 7o 3e,0.991120,30,0.950105
7e 7o 3c,0.991120,7,0.601620
7e 7o 3o,0.991120,30,0.950105
7e 7o 3b,0.991120,7,0.601620
1e 3b 3o,0.990991,3,0.540950
1e 3b 3c,0.990991,3,0.540950
1e 3o 3c,0.990991,3,0.540950
1e 3e 3c,0.990991,24,0.859132
1e 3e 3o,0.990991,24,0.859132
1e 3e 3b,0.990991,24,0.859132
1e 7e 12o,0.990616,28,0.919550
1e 7e 12b,0.990616,28,0.919550
1e 7e 12c,0.990616,28,0.919550
1e 7e 12e,0.990616,28,0.919550
1b 7e 2c,0.990240,7,0.601181
1b 7e 2e,0.990240,29,0.934514
1e 7o 2o,0.990240,29,0.934514
1e 7o 2e,0.990240,23,0.843605
1b 7e 2o,0.990240,7,0.601181
1b 7e 2b,0.990240,23,0.843605
1e 7o 2c,0.990240,7,0.601181
1e 7o 2b,0.990240,7,0.601181
1e 7e 11e,0.987613,28,0.918049
1e 7e 11b,0.987613,28,0.918049
1e 7e 11c,0.987613,28,0.918049
1e 7e 11o,0.987613,28,0.918049
1b 3e 3c,0.986744,3,0.538827
1b 3b 3c,0.986744,24,0.857008
1b 3b 3o,0.986744,24,0.857008
1b 3e 3o,0.986744,3,0.538827
1b 3e 3b,0.986744,24,0.857008
1b 3o 3c,0.986744,3,0.538827
1e 7o 1c,0.985736,7,0.598929
1b 7e 1c,0.985736,7,0.598929
1b 7e 1o,0.985736,7,0.598929
1e 7o 1o,0.985736,28,0.917110
1b 7o 2e,0.984846,7,0.598483
1b 7o 2b,0.984846,23,0.840908
1b 7o 2c,0.984846,7,0.598483
1b 7o 2o,0.984846,29,0.931817
1e 7e 10o,0.984610,28,0.916547
1e 7e 10c,0.984610,28,0.916547
1e 7e 10e,0.984610,28,0.916547
1e 7e 10b,0.984610,28,0.916547
7e 3e 3o,0.982497,30,0.945794
7e 3o 3c,0.982497,7,0.597309
7e 3e 3b,0.982497,30,0.945794
7e 3e 3c,0.982497,30,0.945794
7e 3b 3c,0.982497,7,0.597309
7e 3b 3o,0.982497,7,0.597309
1e 7e 7c,0.982357,28,0.915421
1e 7e 7b,0.982357,28,0.915421
1e 7o 12c,0.981231,7,0.596676
1e 7o 12b,0.981231,7,0.596676
1b 7e 12e,0.981231,27,0.899707
1e 7o 12e,0.981231,21,0.808797
1e 7o 12o,0.981231,27,0.899707
1b 7e 12b,0.981231,21,0.808797
1b 7e 12c,0.981231,7,0.596676
1b 7e 12o,0.981231,7,0.596676
1e 7e 6e,0.980105,33,0.990053
1e 7e 6o,0.980105,28,0.914295
1e 7e 6b,0.980105,28,0.914295
1e 7e 6c,0.980105,28,0.914295
1e 3b 2o,0.979730,3,0.535319
1e 3o 2b,0.979730,3,0.535319
1e 3c 2c,0.979730,25,0.868653
1e 3o 2o,0.979730,25,0.868653
1e 3c 2o,0.979730,3,0.535319
1e 3c 2b,0.979730,3,0.535319
1e 3e 2o,0.979730,24,0.853501
1e 3b 2e,0.979730,23,0.838350
1e 3b 2b,0.979730,25,0.868653
1e 3e 2b,0.979730,24,0.853501
1e 3e 2e,0.979730,25,0.868653
1e 3c 2e,0.979730,23,0.838350
1e 3o 2e,0.979730,23,0.838350
1e 3e 2c,0.979730,24,0.853501
1e 3b 2c,0.979730,3,0.535319
1e 3o 2c,0.979730,3,0.535319
7e 7o 2o,0.979451,29,0.929119
7e 7o 2e,0.979451,29,0.929119
7e 7o 2b,0.979451,7,0.595786
7e 7o 2c,0.979451,7,0.595786
7o 3b 3o,0.978250,30,0.943670
7o 3e 3b,0.978250,7,0.595185
7o 3e 3o,0.978250,30,0.943670
7o 3e 3c,0.978250,7,0.595185
7o 3b 3c,0.978250,7,0.595185
7o 3o 3c,0.978250,30,0.943670
1b 7o 1c,0.978217,7,0.595169
1b 7o 1o,0.978217,28,0.913351
1e 7e 5e,0.977102,32,0.973400
1e 7e 5b,0.977102,28,0.912793
1e 7e 5c,0.977102,28,0.912793
1e 7e 5o,0.977102,28,0.912793
1b 7e 11c,0.975225,7,0.593673
1b 7e 11o,0.975225,7,0.593673
1e 7o 11o,0.975225,27,0.896703
1e 7o 11c,0.975225,7,0.593673
1e 7o 11e,0.975225,21,0.805794
1e 7o 11b,0.975225,7,0.593673
1b 7e 11b,0.975225,21,0.805794
1b 7e 11e,0.975225,27,0.896703
1e 7e 4c,0.974099,28,0.911292
1e 7e 4o,0.974099,28,0.911292
1e 7e 4e,0.974099,31,0.956746
1e 7e 4b,0.974099,28,0.911292
1b 3e 2o,0.972951,3,0.531930
1b 3b 2b,0.972951,25,0.865264
1b 3c 2c,0.972951,25,0.865264
1b 3o 2c,0.972951,3,0.531930
1b 3b 2c,0.972951,24,0.850112
1b 3c 2b,0.972951,23,0.834961
1b 3o 2b,0.972951,23,0.834961
1b 3b 2o,0.972951,24,0.850112
1b 3e 2b,0.972951,23,0.834961
1b 3c 2o,0.972951,3,0.531930
1b 3e 2e,0.972951,25,0.865264
1b 3o 2o,0.972951,25,0.865264
1b 3c 2e,0.972951,3,0.531930
1b 3e 2c,0.972951,3,0.531930
1b 3b 2e,0.972951,24,0.850112
1b 3o 2e,0.972951,3,0.531930
1b 7o 12o,0.971589,27,0.894886
1b 7o 12c,0.971589,7,0.591855
1b 7o 12b,0.971589,21,0.803977
1b 7o 12e,0.971589,7,0.591855
7e 7o 1c,0.970699,7,0.591410
7e 7o 1o,0.970699,28,0.909592
1e 7o 10e,0.969219,21,0.802791
1b 7e 10c,0.969219,7,0.590670
1e 7o 10b,0.969219,7,0.590670
1b 7e 10e,0.969219,27,0.893700
1b 7e 10b,0.969219,21,0.802791
1e 7o 10c,0.969219,7,0.590670
1b 7e 10o,0.969219,7,0.590670
1e 7o 10o,0.969219,27,0.893700
1e 3o 1o,0.968468,24,0.847871
1e 3b 1c,0.968468,3,0.529689
1e 3e 1c,0.968468,24,0.847871
1e 3o 1c,0.968468,3,0.529689
1e 3c 1c,0.968468,24,0.847871
1e 3e 1o,0.968468,24,0.847871
1e 3b 1o,0.968468,3,0.529689
1e 3c 1o,0.968468,3,0.529689
7e 3o 2b,0.966173,7,0.589147
7e 3e 2c,0.966173,30,0.937632
7e 3c 2o,0.966173,7,0.589147
7e 3b 2o,0.966173,7,0.589147
7e 3o 2c,0.966173,7,0.589147
7e 3c 2b,0.966173,7,0.589147
7e 3o 2e,0.966173,29,0.922481
7e 3b 2c,0.966173,7,0.589147
7e 3b 2b,0.966173,25,0.861875
7e 3e 2e,0.966173,30,0.937632
7e 3c 2e,0.966173,29,0.922481
7e 3o 2o,0.966173,25,0.861875
7e 3b 2e,0.966173,29,0.922481
7e 3e 2b,0.966173,30,0.937632
7e 3e 2o,0.966173,30,0.937632
7e 3c 2c,0.966173,25,0.861875
3e 3b 3c,0.965766,3,0.528337
3e 3b 3o,0.965766,3,0.528337
3b 3o 3c,0.965766,3,0.528337
3e 3o 3c,0.965766,3,0.528337
1e 7o 7b,0.964715,7,0.588418
1b 7e 7c,0.964715,7,0.588418
1b 7e 7b,0.964715,28,0.906600
1e 7o 7c,0.964715,7,0.588418
1b 7o 11b,0.962752,21,0.799558
1b 7o 11e,0.962752,7,0.587437
1b 7o 11o,0.962752,27,0.890467
1b 7o 11c,0.962752,7,0.587437
7e 7o 12e,0.961948,27,0.890065
7e 7o 12c,0.961948,7,0.587034
7e 7o 12o,0.961948,27,0.890065
7e 7o 12b,0.961948,7,0.587034
1b 7e 6o,0.960210,7,0.586166
1b 7e 6e,0.960210,33,0.980105
1b 7e 6c,0.960210,7,0.586166
1e 7o 6e,0.960210,27,0.889196
1e 7o 6b,0.960210,7,0.586166
1e 7o 6o,0.960210,33,0.980105
1e 7o 6c,0.960210,7,0.586166
1b 7e 6b,0.960210,27,0.889196
1b 3o 1o,0.959953,24,0.843613
1b 3e 1o,0.959953,3,0.525431
1b 3e 1c,0.959953,3,0.525431
1b 3o 1c,0.959953,3,0.525431
1b 3b 1c,0.959953,24,0.843613
1b 3c 1c,0.959953,24,0.843613
1b 3b 1o,0.959953,24,0.843613
1b 3c 1o,0.959953,3,0.525431
1e 3o 12b,0.959460,3,0.525184
1e 3b 12o,0.959460,3,0.525184
1e 3o 12e,0.959460,21,0.797912
1e 3e 12e,0.959460,24,0.843366
1e 3o 12o,0.959460,23,0.828215
1e 3o 12c,0.959460,3,0.525184
1e 3b 12b,0.959460,23,0.828215
1e 3b 12e,0.959460,21,0.797912
1e 3c 12o,0.959460,3,0.525184
1e 3b 12c,0.959460,3,0.525184
1e 3e 12c,0.959460,24,0.843366
1e 3e 12o,0.959460,24,0.843366
1e 3c 12c,0.959460,23,0.828215
1e 3c 12b,0.959460,3,0.525184
1e 3c 12e,0.959460,21,0.797912
1e 3e 12b,0.959460,24,0.843366
7o 3c 2e,0.959395,7,0.585758
7o 3e 2o,0.959395,29,0.919091
7o 3b 2e,0.959395,7,0.585758
7o 3b 2c,0.959395,7,0.585758
7o 3o 2o,0.959395,30,0.934243
7o 3o 2e,0.959395,30,0.934243
7o 3c 2o,0.959395,29,0.919091
7o 3o 2c,0.959395,30,0.934243
7o 3b 2o,0.959395,29,0.919091
7o 3c 2c,0.959395,25,0.858485
7o 3e 2b,0.959395,7,0.585758
7o 3e 2e,0.959395,25,0.858485
7o 3b 2b,0.959395,25,0.858485
7o 3e 2c,0.959395,7,0.585758
7o 3o 2b,0.959395,30,0.934243
7o 3c 2b,0.959395,7,0.585758
1e 2b 2c,0.957958,2,0.509282
1e 2e 2o,0.957958,23,0.827464
1e 2o 2c,0.957958,2,0.509282
1e 2e 2b,0.957958,23,0.827464
1e 2e 2c,0.957958,23,0.827464
1e 2b 2o,0.957958,2,0.509282
1e 7o 5e,0.954204,26,0.871041
1e 7o 5c,0.954204,7,0.583163
1b 7e 5b,0.954204,26,0.871041
1e 7o 5b,0.954204,7,0.583163
1e 7o 5o,0.954204,32,0.961951
1b 7e 5c,0.954204,7,0.583163
1b 7e 5e,0.954204,32,0.961951
1b 7e 5o,0.954204,7,0.583163
1b 7o 10o,0.953915,27,0.886048
1b 7o 10c,0.953915,7,0.583018
1b 7o 10b,0.953915,21,0.795139
1b 7o 10e,0.953915,7,0.583018
7e 3e 1o,0.951437,30,0.930264
7e 3o 1c,0.951437,7,0.581779
7e 3b 1c,0.951437,7,0.581779
7e 3b 1o,0.951437,7,0.581779
7e 3c 1c,0.951437,24,0.839355
7e 3c 1o,0.951437,7,0.581779
7e 3o 1o,0.951437,24,0.839355
7e 3e 1c,0.951437,30,0.930264
7e 7o 11o,0.950279,27,0.884230
7e 7o 11c,0.950279,7,0.581200
7e 7o 11b,0.950279,7,0.581200
7e 7o 11e,0.950279,27,0.884230
1b 2e 2c,0.949249,2,0.504928
1b 2o 2c,0.949249,2,0.504928
1b 2e 2b,0.949249,23,0.823110
1b 2e 2o,0.949249,2,0.504928
1b 2b 2c,0.949249,23,0.823110
1b 2b 2o,0.949249,23,0.823110
1b 3c 12c,0.949078,23,0.823024
1b 3b 12b,0.949078,24,0.838175
1b 3o 12e,0.949078,3,0.519993
1b 3b 12c,0.949078,24,0.838175
1b 3o 12b,0.949078,21,0.792721
1b 3b 12o,0.949078,24,0.838175
1b 3o 12c,0.949078,3,0.519993
1b 3e 12o,0.949078,3,0.519993
1b 3b 12e,0.949078,24,0.838175
1b 3c 12b,0.949078,21,0.792721
1b 3o 12o,0.949078,23,0.823024
1b 3c 12e,0.949078,3,0.519993
1b 3e 12c,0.949078,3,0.519993
1b 3c 12o,0.949078,3,0.519993
1b 3e 12e,0.949078,23,0.823024
1b 3e 12b,0.949078,21,0.792721
1b 7e 4o,0.948198,7,0.580160
1b 7e 4b,0.948198,25,0.852887
1e 7o 4o,0.948198,31,0.943796
1e 7o 4b,0.948198,7,0.580160
1b 7e 4e,0.948198,31,0.943796
1e 7o 4c,0.948198,7,0.580160
1e 7o 4e,0.948198,25,0.852887
1b 7e 4c,0.948198,7,0.580160
1b 7o 7c,0.947287,7,0.579704
1b 7o 7b,0.947287,28,0.897886
1e 3o 11o,0.945946,23,0.821458
1e 3e 11e,0.945946,24,0.836609
1e 3o 11c,0.945946,3,0.518428
1e 3c 11e,0.945946,21,0.791155
1e 3e 11c,0.945946,24,0.836609
1e 3b 11o,0.945946,3,0.518428
1e 3c 11b,0.945946,3,0.518428
1e 3c 11c,0.945946,23,0.821458
1e 3c 11o,0.945946,3,0.518428
1e 3e 11b,0.945946,24,0.836609
1e 3e 11o,0.945946,24,0.836609
1e 3b 11c,0.945946,3,0.518428
1e 3o 11b,0.945946,3,0.518428
1e 3b 11b,0.945946,23,0.821458
1e 3o 11e,0.945946,21,0.791155
1e 3b 11e,0.945946,21,0.791155
7o 3o 1o,0.942922,30,0.926006
7o 3e 1o,0.942922,28,0.895703
7o 3c 1o,0.942922,28,0.895703
7o 3o 1c,0.942922,30,0.926006
7o 3b 1o,0.942922,28,0.895703
7o 3c 1c,0.942922,24,0.835097
7o 3b 1c,0.942922,7,0.577521
7o 3e 1c,0.942922,7,0.577521
3o 3c 2o,0.942578,25,0.850077
3b 3o 2e,0.942578,3,0.516744
3e 3c 2c,0.942578,25,0.850077
3e 3b 2c,0.942578,3,0.516744
3e 3b 2b,0.942578,25,0.850077
3o 3c 2e,0.942578,3,0.516744
3e 3c 2b,0.942578,3,0.516744
3o 3c 2c,0.942578,25,0.850077
3e 3b 2o,0.942578,3,0.516744
3e 3o 2o,0.942578,25,0.850077
3e 3c 2o,0.942578,3,0.516744
3b 3c 2c,0.942578,25,0.850077
3e 3o 2b,0.942578,3,0.516744
3e 3o 2c,0.942578,3,0.516744
3b 3o 2c,0.942578,3,0.516744
3b 3c 2e,0.942578,3,0.516744
3b 3o 2b,0.942578,25,0.850077
3b 3o 2o,0.942578,25,0.850077
3b 3c 2o,0.942578,3,0.516744
3b 3c 2b,0.942578,25,0.850077
3e 3c 2e,0.942578,25,0.850077
3e 3b 2e,0.942578,25,0.850077
3o 3c 2b,0.942578,3,0.516744
3e 3o 2e,0.942578,25,0.850077
1b 7o 6b,0.940659,27,0.879420
1b 7o 6o,0.940659,33,0.970329
1b 7o 6c,0.940659,7,0.576390
1b 7o 6e,0.940659,7,0.576390
7e 2e 2o,0.940541,29,0.909664
7e 2e 2b,0.940541,29,0.909664
7e 2b 2o,0.940541,7,0.576331
7e 2b 2c,0.940541,7,0.576331
7e 2e 2c,0.940541,29,0.909664
7e 2o 2c,0.940541,7,0.576331
1e 2e 1c,0.939940,23,0.818455
1e 2b 1c,0.939940,2,0.500273
1e 2c 1o,0.939940,2,0.500273
1e 2b 1o,0.939940,2,0.500273
1e 2o 1c,0.939940,2,0.500273
1e 2c 1c,0.939940,23,0.818455
1e 2o 1o,0.939940,23,0.818455
1e 2e 1o,0.939940,23,0.818455
7e 3c 12b,0.938696,7,0.575409
7e 3o 12b,0.938696,7,0.575409
7e 3o 12e,0.938696,27,0.878439
7e 3o 12o,0.938696,23,0.817833
7e 3c 12c,0.938696,23,0.817833
7e 3o 12c,0.938696,7,0.575409
7e 3b 12c,0.938696,7,0.575409
7e 3b 12o,0.938696,7,0.575409
7e 3b 12e,0.938696,27,0.878439
7e 3b 12b,0.938696,23,0.817833
7e 3e 12e,0.938696,30,0.923893
7e 3e 12o,0.938696,30,0.923893
7e 3e 12b,0.938696,30,0.923893
7e 3c 12e,0.938696,27,0.878439
7e 3c 12o,0.938696,7,0.575409
7e 3e 12c,0.938696,30,0.923893
7e 7o 10e,0.938610,27,0.878396
7e 7o 10c,0.938610,7,0.575366
7e 7o 10o,0.938610,27,0.878396
7e 7o 10b,0.938610,7,0.575366
1b 3o 11e,0.933162,3,0.512035
1b 3e 11c,0.933162,3,0.512035
1b 3o 11c,0.933162,3,0.512035
1b 3o 11o,0.933162,23,0.815066
1b 3c 11c,0.933162,23,0.815066
1b 3c 11o,0.933162,3,0.512035
1b 3c 11b,0.933162,21,0.784763
1b 3c 11e,0.933162,3,0.512035
1b 3o 11b,0.933162,21,0.784763
1b 3b 11c,0.933162,24,0.830217
1b 3e 11b,0.933162,21,0.784763
1b 3e 11e,0.933162,23,0.815066
1b 3e 11o,0.933162,3,0.512035
1b 3b 11o,0.933162,24,0.830217
1b 3b 11b,0.933162,24,0.830217
1b 3b 11e,0.933162,24,0.830217
1e 3b 10b,0.932432,23,0.814701
1e 3o 10e,0.932432,21,0.784398
1e 3e 10b,0.932432,24,0.829853
1e 3c 10o,0.932432,3,0.511671
1e 3c 10b,0.932432,3,0.511671
1e 3e 10c,0.932432,24,0.829853
1e 3c 10e,0.932432,21,0.784398
1e 3o 10c,0.932432,3,0.511671
1e 3o 10o,0.932432,23,0.814701
1e 3o 10b,0.932432,3,0.511671
1e 3b 10c,0.932432,3,0.511671
1e 3b 10o,0.932432,3,0.511671
1e 3e 10o,0.932432,24,0.829853
1e 3c 10c,0.932432,23,0.814701
1e 3b 10e,0.932432,21,0.784398
1e 3e 10e,0.932432,24,0.829853
7o 2e 2b,0.931832,7,0.571976
7o 2b 2c,0.931832,7,0.571976
7o 2e 2c,0.931832,7,0.571976
7o 2o 2c,0.931832,29,0.905310
7o 2e 2o,0.931832,29,0.905310
7o 2b 2o,0.931832,29,0.905310
1b 7o 5c,0.931821,7,0.571971
1b 7o 5o,0.931821,32,0.950759
1b 7o 5b,0.931821,26,0.859850
1b 7o 5e,0.931821,7,0.571971
1b 2o 1o,0.929880,23,0.813425
1b 2c 1o,0.929880,2,0.495243
1b 2b 1o,0.929880,23,0.813425
1b 2e 1o,0.929880,2,0.495243
1b 2b 1c,0.929880,23,0.813425
1b 2e 1c,0.929880,2,0.495243
1b 2o 1c,0.929880,2,0.495243
1b 2c 1c,0.929880,23,0.813425
7e 7o 7c,0.929858,7,0.570990
7e 7o 7b,0.929858,7,0.570990
7o 3c 12e,0.928314,7,0.570218
7o 3c 12b,0.928314,7,0.570218
7o 3e 12b,0.928314,7,0.570218
7o 3e 12e,0.928314,23,0.812642
7o 3e 12c,0.928314,7,0.570218
7o 3b 12c,0.928314,7,0.570218
7o 3e 12o,0.928314,27,0.873248
7o 3b 12b,0.928314,23,0.812642
7o 3o 12e,0.928314,30,0.918702
7o 3b 12e,0.928314,7,0.570218
7o 3c 12c,0.928314,23,0.812642
7o 3o 12b,0.928314,30,0.918702
7o 3o 12c,0.928314,30,0.918702
7o 3c 12o,0.928314,27,0.873248
7o 3o 12o,0.928314,30,0.918702
7o 3b 12o,0.928314,27,0.873248
1b 7o 4e,0.922984,7,0.567552
1b 7o 4o,0.922984,31,0.931189
1b 7o 4c,0.922984,7,0.567552
1b 7o 4b,0.922984,25,0.840280
1e 2c 12o,0.921922,2,0.491264
1e 2e 12c,0.921922,23,0.809446
1e 2o 12o,0.921922,22,0.794294
1e 2b 12o,0.921922,2,0.491264
1e 2o 12b,0.921922,2,0.491264
1e 2b 12c,0.921922,2,0.491264
1e 2c 12b,0.921922,2,0.491264
1e 2c 12c,0.921922,22,0.794294
1e 2e 12o,0.921922,23,0.809446
1e 2e 12b,0.921922,23,0.809446
1e 2e 12e,0.921922,23,0.809446
1e 2c 12e,0.921922,21,0.779143
1e 2b 12b,0.921922,22,0.794294
1e 2b 12e,0.921922,21,0.779143
1e 2o 12e,0.921922,21,0.779143
1e 2o 12c,0.921922,2,0.491264
3o 3c 1c,0.921514,24,0.824394
3b 3o 1o,0.921514,24,0.824394
3o 3c 1o,0.921514,24,0.824394
3e 3o 1c,0.921514,3,0.506212
3e 3b 1c,0.921514,3,0.506212
3e 3c 1c,0.921514,24,0.824394
3e 3b 1o,0.921514,3,0.506212
3e 3o 1o,0.921514,24,0.824394
3e 3c 1o,0.921514,3,0.506212
3b 3c 1c,0.921514,24,0.824394
3b 3o 1c,0.921514,3,0.506212
3b 3c 1o,0.921514,3,0.506212
1e 3b 7b,0.921171,30,0.915131
1e 3b 7c,0.921171,7,0.566646
1e 3e 7c,0.921171,24,0.824222
1e 3o 7c,0.921171,7,0.566646
1e 3o 7b,0.921171,7,0.566646
1e 3c 7b,0.921171,7,0.566646
1e 3c 7c,0.921171,30,0.915131
1e 3e 7b,0.921171,24,0.824222
7e 7o 6c,0.921107,7,0.566614
7e 7o 6b,0.921107,7,0.566614
7e 7o 6o,0.921107,33,0.960553
7e 7o 6e,0.921107,33,0.960553
7e 3o 11o,0.920377,23,0.808674
7e 3e 11e,0.920377,30,0.914734
7e 3c 11o,0.920377,7,0.566249
7e 3b 11b,0.920377,23,0.808674
7e 3c 11b,0.920377,7,0.566249
7e 3c 11e,0.920377,27,0.869280
7e 3c 11c,0.920377,23,0.808674
7e 3o 11c,0.920377,7,0.566249
7e 3b 11o,0.920377,7,0.566249
7e 3o 11b,0.920377,7,0.566249
7e 3o 11e,0.920377,27,0.869280
7e 3e 11c,0.920377,30,0.914734
7e 3e 11o,0.920377,30,0.914734
7e 3e 11b,0.920377,30,0.914734
7e 3b 11e,0.920377,27,0.869280
7e 3b 11c,0.920377,7,0.566249
7e 2c 1o,0.919820,7,0.565971
7e 2c 1c,0.919820,23,0.808395
7e 2b 1o,0.919820,7,0.565971
7e 2e 1o,0.919820,29,0.899304
7e 2b 1c,0.919820,7,0.565971
7e 2e 1c,0.919820,29,0.899304
7e 2o 1c,0.919820,7,0.565971
7e 2o 1o,0.919820,23,0.808395
1e 1o 1c,0.917417,1,0.473860
1b 3o 10c,0.917246,3,0.504077
1b 3e 10e,0.917246,23,0.807108
1b 3o 10o,0.917246,23,0.807108
1b 3c 10o,0.917246,3,0.504077
1b 3b 10o,0.917246,24,0.822259
1b 3e 10c,0.917246,3,0.504077
1b 3e 10b,0.917246,21,0.776805
1b 3e 10o,0.917246,3,0.504077
1b 3b 10e,0.917246,24,0.822259
1b 3o 10b,0.917246,21,0.776805
1b 3c 10e,0.917246,3,0.504077
1b 3b 10b,0.917246,24,0.822259
1b 3o 10e,0.917246,3,0.504077
1b 3c 10b,0.917246,21,0.776805
1b 3c 10c,0.917246,23,0.807108
1b 3b 10c,0.917246,24,0.822259
1e 3o 6c,0.912162,6,0.546990
1e 3o 6e,0.912162,27,0.865172
1e 3c 6c,0.912162,29,0.895475
1e 3c 6o,0.912162,6,0.546990
1e 3b 6e,0.912162,27,0.865172
1e 3b 6b,0.912162,29,0.895475
1e 3b 6o,0.912162,6,0.546990
1e 3c 6b,0.912162,6,0.546990
1e 3c 6e,0.912162,27,0.865172
1e 3o 6b,0.912162,6,0.546990
1e 3b 6c,0.912162,6,0.546990
1e 3o 6o,0.912162,29,0.895475
1e 3e 6o,0.912162,24,0.819717
1e 3e 6c,0.912162,24,0.819717
1e 3e 6e,0.912162,29,0.895475
1e 3e 6b,0.912162,24,0.819717
3b 2o 2c,0.911476,3,0.501192
3e 2o 2c,0.911476,3,0.501192
3o 2e 2o,0.911476,25,0.834526
3e 2b 2c,0.911476,3,0.501192
3c 2e 2o,0.911476,3,0.501192
3e 2e 2c,0.911476,25,0.834526
3b 2b 2c,0.911476,25,0.834526
3e 2e 2o,0.911476,25,0.834526
3b 2b 2o,0.911476,25,0.834526
3b 2e 2o,0.911476,3,0.501192
3o 2b 2c,0.911476,3,0.501192
3c 2b 2c,0.911476,25,0.834526
3b 2e 2b,0.911476,25,0.834526
3o 2e 2c,0.911476,3,0.501192
3o 2e 2b,0.911476,3,0.501192
3b 2e 2c,0.911476,3,0.501192
3c 2e 2b,0.911476,3,0.501192
3c 2b 2o,0.911476,3,0.501192
3o 2o 2c,0.911476,25,0.834526
3c 2o 2c,0.911476,25,0.834526
3c 2e 2c,0.911476,25,0.834526
3e 2e 2b,0.911476,25,0.834526
3e 2b 2o,0.911476,3,0.501192
3o 2b 2o,0.911476,25,0.834526
1b 2e 12e,0.910510,22,0.788589
1b 2o 12o,0.910510,22,0.788589
1b 2c 12c,0.910510,22,0.788589
1b 2b 12c,0.910510,23,0.803740
1b 2c 12o,0.910510,2,0.485558
1b 2c 12b,0.910510,21,0.773437
1b 2c 12e,0.910510,2,0.485558
1b 2o 12e,0.910510,2,0.485558
1b 2e 12c,0.910510,2,0.485558
1b 2e 12o,0.910510,2,0.485558
1b 2e 12b,0.910510,21,0.773437
1b 2o 12b,0.910510,21,0.773437
1b 2b 12e,0.910510,23,0.803740
1b 2b 12b,0.910510,23,0.803740
1b 2b 12o,0.910510,23,0.803740
1b 2o 12c,0.910510,2,0.485558
7o 2e 1c,0.909760,7,0.560941
7o 2c 1c,0.909760,23,0.803365
7o 2b 1c,0.909760,7,0.560941
7o 2b 1o,0.909760,28,0.879122
7o 2o 1o,0.909760,29,0.894274
7o 2c 1o,0.909760,28,0.879122
7o 2e 1o,0.909760,28,0.879122
7o 2o 1c,0.909760,29,0.894274
7e 7o 5e,0.909438,32,0.939568
7e 7o 5b,0.909438,7,0.560780
7e 7o 5o,0.909438,32,0.939568
7e 7o 5c,0.909438,7,0.560780
7o 3b 11c,0.907593,7,0.559857
7o 3e 11b,0.907593,7,0.559857
7o 3e 11o,0.907593,27,0.862888
7o 3e 11c,0.907593,7,0.559857
7o 3o 11c,0.907593,30,0.908342
7o 3b 11e,0.907593,7,0.559857
7o 3o 11b,0.907593,30,0.908342
7o 3o 11e,0.907593,30,0.908342
7o 3o 11o,0.907593,30,0.908342
