pair,is_envido,truco_max,truco_min,truco_mean,truco_median,envido_max,envido_min,envido_mean,envido_median,combined_mean,count
2 12,true,0.742149,0.466023,0.587881,0.566924,29,20,23.66,22,0.652483,232
2 12,false,0.742149,0.466023,0.593023,0.585457,7,2,3.92,4,0.355855,144
2 1f,true,0.811454,0.524968,0.654047,0.651051,29,21,24.02,23,0.691004,132
2 1f,false,0.811454,0.524968,0.655621,0.651051,7,2,3.73,4,0.384250,80
2 2,true,0.844208,0.584363,0.709349,0.714286,29,22,24.71,24,0.729134,84
2 2,false,0.873874,0.584363,0.716828,0.730309,7,2,3.57,2,0.412477,88
2 4,true,0.037602,0.037602,0.037602,0.037602,26,26,26.00,26,0.412740,12
2 4,false,0.037602,0.037602,0.037602,0.037602,4,4,4.00,4,0.079407,12
2 5,true,0.190412,0.115444,0.132744,0.115444,29,26,27.38,27,0.481291,52
2 5,false,0.190412,0.115444,0.140433,0.115444,5,5,5.00,5,0.145974,36
2 6,true,0.332239,0.193350,0.241757,0.263020,31,26,28.48,28,0.552367,92
2 6,false,0.332239,0.193350,0.248996,0.263020,6,6,6.00,6,0.215407,60
2 7f,true,0.432175,0.252295,0.321285,0.317589,33,26,29.58,29,0.608834,62
2 7f,false,0.432175,0.252295,0.323620,0.317589,7,7,7.00,7,0.267871,38
3 10,true,0.578443,0.355169,0.446618,0.419348,30,23,25.58,25,0.610869,152
3 10,false,0.578443,0.355169,0.453209,0.451437,7,3,5.00,5,0.302362,96
3 11,true,0.694187,0.444058,0.551390,0.555942,30,20,24.85,24,0.652273,192
3 11,false,0.694187,0.444058,0.557102,0.555942,7,3,4.60,4,0.348248,120
3 12,true,0.793458,0.532947,0.648117,0.628357,30,20,24.38,23,0.693442,232
3 12,false,0.793458,0.532947,0.652962,0.645732,7,3,4.33,4,0.392137,144
3 1f,true,0.856070,0.599871,0.715472,0.712655,30,21,24.73,24,0.732392,132
3 1f,false,0.856070,0.599871,0.716878,0.712655,7,3,4.20,4,0.422075,80
